transcription,Spanish,English,Speaker,Citation,Length,Start,Stop,WAV,EAF,File,Token
zwà̰wɪ̂n dà̰ ʒḛ̂ʁà nîss jògòʒà,Estoy sano porque tomo agua todos los días,I am healthy because I drink water everyday,,BMAF02032021-1-combine:15:27.0,0:02.8,15:27.0,15:29.8,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[15_270-15_298].wav,00432212-2
Ʒîkò̰kàkéʔ,su perro,their dog (formal),,BMAF01292021-1-combine:28:18.9,0:01.4,28:18.9,28:20.3,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[28_189-28_203].wav,87753223-1
ʐíkòlé ʒàwbá jètʰ,vuestro perro come tortilla,your.plr dog eats tortilla,,BMAF01292021-1-combine:18:47.7,0:02.3,18:47.7,18:50.0,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[18_477-18_500].wav,73523809-1
ʒîkò̰kàkéʔ,su perro,their dog (formal),,BMAF01292021-1-combine:27:58.1,0:01.6,27:58.1,27:59.7,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[27_581-27_597].wav,68400861-1
tʂèbéʔ,tu (el/ella),his/her (familiar),,BMAF01152021-1-combine:25:44.8,0:00.5,25:44.8,25:45.3,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[25_448-25_453].wav,79801579-1
ʐíkòlé ʒàwbá jètʰ,vuestro perro come tortilla,your.plr dog eats tortilla,,BMAF01292021-1-combine:19:00.5,0:02.4,19:00.5,19:02.9,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[19_005-19_029].wav,73523809-2
jôdǒʔ,iglesia,church,,BMAF01082021-1-combine:26:27.2,0:00.6,26:27.2,26:27.7,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[26_272-26_277].wav,77682872-1
ríkòʒó ʒàwbá jètʰ,nuestro.incl perro come tortilla,our.inclusive dog eats tortilla,,BMAF01292021-1-combine:18:08.3,0:02.3,18:08.3,18:10.6,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[18_083-18_106].wav,66534548-1
ʂîsʒóʔ,nuestra agua,our water (inclusive),,BMAF01292021-1-combine:23:38.0,0:01.1,23:38.0,23:39.1,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[23_380-23_391].wav,53009365-1
líʒáʔ,mi casa,my house,,BMAF01152021-1-combine:31:08.3,0:00.7,31:08.3,31:09.0,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[31_083-31_090].wav,73035577-1
bèɭ,pez,fish,,BMAF01082021-1-combine:37:19.3,0:00.4,37:19.3,37:19.7,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[37_193-37_197].wav,86547187-2
niàʔ,decir,say,,BMAF01152021-1-combine:16:51.2,0:00.5,16:51.2,16:51.7,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[16_512-16_517].wav,82475547-1
ʂàléʔ,tu/su padre,your pl. father,,BMAF01292021-1-combine:42:15.0,0:00.9,42:15.0,42:15.8,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[42_150-42_158].wav,24616962-1
lâl nòlé blêlâ nèʁé,Ví muchas mujeres ayer,I saw many women yesterday,,BMAF01082021-1-combine:07:24.0,0:02.1,7:24.0,7:26.1,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[07_240-07_261].wav,75175272-1
bèɭ,pez,fish,,BMAF01082021-1-combine:37:30.2,0:00.5,37:30.2,37:30.7,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[37_302-37_307].wav,86547187-2
t͡ʂàʔ,sartén,pan,,BMAF01082021-1-combine:47:20.7,0:00.7,47:20.7,47:21.4,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[47_207-47_214].wav,17615872-2
nìʔá,pie,my foot,,BMAF01152021-1-combine:08:32.7,0:00.5,8:32.7,8:33.2,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[08_327-08_332].wav,14274641-2
nèðá wḛ̀ʁá nîss néʁé,Tomé agua ayer,I drank water yesterday,,BMAF02032021-1-combine:19:14.6,0:02.3,19:14.6,19:16.9,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[19_146-19_169].wav,24744971-1
ʒɾíkwà,mi perro,my dog,,BMAF01292021-1-combine:04:22.0,0:00.8,4:22.0,4:22.8,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[04_220-04_228].wav,44023689-1
nu,,,,BMAF02102021-1-combine:33:59.4,0:00.5,33:59.4,33:59.9,BMAF02102021-1-combine.wav,BMAF02102021-1-combine.eaf,BMAF02102021-1-combine[33_594-33_599].wav,28397850-1
dànà lín(ŋ) màrgàrìtà,se llama margarita,the name of that (thing) is Margarita,,BMAF02172021-1-combine:24:31.8,0:01.9,24:31.8,24:33.7,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[24_318-24_337].wav,06582776-1
bí lén,como se llama,what's its name,,BMAF02172021-1-combine:21:54.4,0:01.0,21:54.4,21:55.3,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[21_544-21_553].wav,11649170-1
Ʒîkò̰kàkéʔ,su perro,their dog (formal),,BMAF01292021-1-combine:28:21.9,0:01.4,28:21.9,28:23.3,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[28_219-28_233].wav,87753223-2
ʂnḛ́ʔ,su madre (el/ella),his/her mother (formal),,BMAF01292021-1-combine:43:41.0,0:00.9,43:41.0,43:41.9,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[43_410-43_419].wav,19148088-2
nàʒá,hoy,today,,BMAF02172021-1-combine:30:50.3,0:00.9,30:50.3,30:51.2,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[30_503-30_512].wav,70914125-2
zwà̰wɪ̰̂n dà̰ ʒḛ̂ʁà nîss jògòʒà,Estoy sano porque tomo agua todos los días,I am healthy because I drink water everyday,,BMAF02032021-1-combine:16:16.6,0:02.6,16:16.6,16:19.2,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[16_166-16_192].wav,07607751-1
nèðà nézlà nía̰ʔ  láwàʔ ʂíʒàʔ,Yo sé como decir ojo en Zapoteco,I know how to say eye in Zapotec,,BMAF01152021-1-combine:06:59.2,0:03.4,6:59.2,7:02.5,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[06_592-07_025].wav,09606724-1
nès,camino,path,,BMAF01152021-1-combine:20:40.9,0:00.8,20:40.9,20:41.7,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[20_409-20_417].wav,23878717-1
jògòʒà ʒêʁá nîss,yo tomo agua todos los días,I drink water everyday,,BMAF02032021-1-combine:08:30.0,0:01.7,8:30.0,8:31.7,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[08_300-08_317].wav,49321803-1
ɳèdá bɭèɭá bèné bjǒ zân jôdôʔ nàʒâ,"Hoy, ví muchos hombres","Today, I saw a lot of men in church",,BMAF01082021-1-combine:26:48.3,0:03.3,26:48.3,26:51.6,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[26_483-26_516].wav,59719550-1
ʂîsʒóʔ,nuestra agua,our water (inclusive),,BMAF01292021-1-combine:24:54.8,0:01.3,24:54.8,24:56.1,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[24_548-24_561].wav,53009365-2
nòɺé,mujer,woman,,BMAF01082021-1-combine:01:13.4,0:00.5,1:13.4,1:13.9,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[01_134-01_139].wav,49231009-1
békòʔ,perro,dog,,BMAF01292021-1-combine:01:11.5,0:00.5,1:11.5,1:12.0,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[01_115-01_120].wav,47601734-1
ʂákàkbéʔ,su padre,their father (informal),,BMAF01292021-1-combine:38:31.0,0:01.2,38:31.0,38:32.3,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[38_310-38_323].wav,86089283-1
ɾnès,camino,path,,BMAF01152021-1-combine:20:29.7,0:00.7,20:29.7,20:30.4,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[20_297-20_304].wav,31297237-1
tʂèbéʔ,tu (el/ella),his/her (familiar),,BMAF01152021-1-combine:25:43.5,0:00.4,25:43.5,25:43.9,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[25_435-25_439].wav,79801579-2
lìʃtóʔ,,our house (exclusive),,BMAF01152021-1-combine:34:16.7,0:00.8,34:16.7,34:17.5,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[34_167-34_175].wav,80273005-1
ʒèbèlèlà̰ jòkóɬté lìʂáʔ,Me gustan mis casas,I like my houses,,BMAF01152021-1-combine:39:10.9,0:02.0,39:10.9,39:13.0,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[39_109-39_130].wav,40306060-1
ríkwḛ̀,su.resp perro,his/her.respectful dog,,BMAF01292021-1-combine:15:27.7,0:00.8,15:27.7,15:28.5,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[15_277-15_285].wav,40702788-1
wênlè zó dà ʒèʁò nìss jòɣòʒà,Estas sano porque tomas agua todos los días,You are a healthy person because you drink water everyday,,BMAF02032021-1-combine:37:46.0,0:02.8,37:46.0,37:48.8,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[37_460-37_488].wav,29287496-1
lén(ŋ),se llama,it's called,,BMAF02172021-1-combine:20:30.1,0:00.9,20:30.1,20:31.0,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[20_301-20_310].wav,00851378-1
bèɭ,pez,fish,,BMAF01082021-1-combine:34:14.2,0:00.5,34:14.2,34:14.7,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[34_142-34_147].wav,86547187-2
làjàʔ,mi diente,my tooth/teeth,,BMAF01152021-1-combine:15:01.8,0:00.7,15:01.8,15:02.4,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[15_018-15_024].wav,61804235-1
lìʒéʔ,su/usted casa (el/ella),his/her house (formal),,BMAF01152021-1-combine:32:59.8,0:00.7,32:59.8,33:00.5,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[32_598-33_005].wav,50991027-1
nès,camino,path,,BMAF01152021-1-combine:20:49.0,0:00.8,20:49.0,20:49.9,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[20_490-20_499].wav,23878717-2
ríkòbéʔ,su (fam) perro,his/her (fam) dog,,BMAF01292021-1-combine:09:28.2,0:00.9,9:28.2,9:29.1,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[09_282-09_291].wav,98053900-1
ʂákàkbéʔ,su padre,their father (informal),,BMAF01292021-1-combine:42:21.0,0:01.1,42:21.0,42:22.2,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[42_210-42_222].wav,86089283-2
βiú zḛ̀nò bàwḛ̂ʁá nìss ʒôʃkènô,"no hace falta, ya tomé agua. gracias","There's no need, I already drank water. Thank you",,BMAF02032021-1-combine:24:27.9,0:03.2,24:27.9,24:31.2,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[24_279-24_312].wav,12520737-1
nà̰tgé ʒḛ̂ʁá nîss,Estoy tomando agua ahora,I am drinking water now,,BMAF02032021-1-combine:19:49.2,0:01.9,19:49.2,19:51.2,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[19_492-19_512].wav,45201240-2
Ʒîkò̰kàkéʔ,su perro,their dog (formal),,BMAF01292021-1-combine:28:13.2,0:01.3,28:13.2,28:14.6,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[28_132-28_146].wav,87753223-2
nó léːn(ŋ),con quien,with who,,BMAF02172021-1-combine:22:20.2,0:01.2,22:20.2,22:21.3,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[22_202-22_213].wav,88316991-2
tʂègàkbéʔ,sus/ustedes,their,,BMAF01152021-1-combine:30:22.7,0:00.8,30:22.7,30:23.5,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[30_227-30_235].wav,00147386-1
wênlḛ̀ zó dà̰ ʒḛ̀ʁò nìss jòɣòʒà,Estas sano porque tomas agua todos los días,You are a healthy person because you drink water everyday,,BMAF02032021-1-combine:38:33.0,0:03.2,38:33.0,38:36.3,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[38_330-38_363].wav,51131713-1
ríkòʒó ʒàwbá jètʰ,nuestro.incl perro come tortilla,our.inclusive dog eats tortilla,,BMAF01292021-1-combine:18:01.0,0:02.2,18:01.0,18:03.1,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[18_010-18_031].wav,66534548-2
ʂnâ̰,mi madre,my mother,,BMAF01152021-1-combine:41:23.4,0:00.7,41:23.4,41:24.2,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[41_234-41_242].wav,90630695-2
bí lén(ŋ),como se llama,what's its name,,BMAF02172021-1-combine:22:00.9,0:00.6,22:00.9,22:01.6,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[22_009-22_016].wav,60962230-1
zwà̰wɪ̂n dà̰ ʒḛ̂ʁà nîss jògòʒà,Estoy sano porque tomo agua todos los días,I am healthy because I drink water everyday,,BMAF02032021-1-combine:15:43.8,0:02.4,15:43.8,15:46.3,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[15_438-15_463].wav,00432212-2
ʐíkò̰ʔ,tu perro,your dog,,BMAF01292021-1-combine:08:23.0,0:00.7,8:23.0,8:23.7,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[08_230-08_237].wav,10925480-1
ʐíkwà ʒàwbá jèt,mi perro come tortilla,my dog eats tortilla,,BMAF01292021-1-combine:04:48.1,0:02.1,4:48.1,4:50.2,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[04_481-04_502].wav,78407342-1
bèɭ,pez,fish,,BMAF01082021-1-combine:35:32.3,0:00.3,35:32.3,35:32.6,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[35_323-35_326].wav,86547187-2
ʐíkòtó ʒàwbá jètʰ,nuestro.excl perro come tortilla,our.exclusive dog eats tortilla,,BMAF01292021-1-combine:18:35.8,0:02.0,18:35.8,18:37.8,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[18_358-18_378].wav,23498591-1
láwàʔ,ojo,my eye,,BMAF01152021-1-combine:06:26.5,0:00.8,6:26.5,6:27.3,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[06_265-06_273].wav,67772202-2
nò̰ɺé,mujer,woman,,BMAF01082021-1-combine:01:28.9,0:00.5,1:28.9,1:29.4,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[01_289-01_294].wav,01559206-2
lén,eso,that,,BMAF02172021-1-combine:19:30.8,0:01.3,19:30.8,19:32.2,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[19_308-19_322].wav,59535688-2
lâl nòlé blêrâ nèʁê,Ví muchas mujeres ayer,I saw many women yesterday,,BMAF01082021-1-combine:07:02.4,0:04.4,7:02.4,7:06.9,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[07_024-07_069].wav,85497526-1
tʂèbéʔ,tu (el/ella),his/her (familiar),,BMAF01152021-1-combine:25:59.1,0:00.7,25:59.1,25:59.8,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[25_591-25_598].wav,79801579-2
lêvè ʒèʁébé nìss jòɣòʒà,él/ella toma agua todos los días,he/she.fam drinks water everyday,,BMAF02032021-1-combine:34:19.2,0:02.6,34:19.2,34:21.8,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[34_192-34_218].wav,58159388-1
no,,,,BMAF02102021-1-combine:33:58.5,0:00.5,33:58.5,33:58.9,BMAF02102021-1-combine.wav,BMAF02102021-1-combine.eaf,BMAF02102021-1-combine[33_585-33_589].wav,96724965-1
niǎ̰,pie,foot,,BMAF01152021-1-combine:16:52.8,0:00.8,16:52.8,16:53.6,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[16_528-16_536].wav,31773820-1
ríkwò ʒàwbá jètʰ,tu perro come tortilla,your dog eats tortilla,,BMAF01292021-1-combine:14:16.8,0:01.8,14:16.8,14:18.6,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[14_168-14_186].wav,00538960-1
zã̂n bèné biǒ blḛ̀ɺá jôdô nàʒâ,Ví muchos hombres en la iglesia hoy,I saw a lot of men at church today,,BMAF01082021-1-combine:27:40.6,0:02.7,27:40.6,27:43.3,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[27_406-27_433].wav,94144898-1
lìʃtóʔ,,our house (exclusive),,BMAF01152021-1-combine:34:11.8,0:00.7,34:11.8,34:12.5,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[34_118-34_125].wav,80273005-2
tʂèʒó,nuestro,our (inclusive),,BMAF01152021-1-combine:27:02.5,0:00.7,27:02.5,27:03.2,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[27_025-27_032].wav,61883743-2
ʂîskàkéʔ,su agua,their water (formal),,BMAF01292021-1-combine:26:45.5,0:01.4,26:45.5,26:46.9,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[26_455-26_469].wav,99066096-1
lál nís wêʁá nèʁé,Bebí mucha agua ayer,I drank a lot of water yesterday,,BMAF01082021-1-combine:11:34.2,0:02.4,11:34.2,11:36.6,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[11_342-11_366].wav,82328938-1
nàtʰgè ʒòláʔ,Estoy leyendo ahora,I am reading now,,BMAF02172021-1-combine:43:11.4,0:01.3,43:11.4,43:12.7,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[43_114-43_127].wav,40633686-2
bèɳéʔ,persona,person,,BMAF01082021-1-combine:33:11.2,0:00.5,33:11.2,33:11.8,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[33_112-33_118].wav,14488708-2
tʂètó,,our (exclusive),,BMAF01152021-1-combine:28:28.4,0:00.6,28:28.4,28:29.0,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[28_284-28_290].wav,35665925-2
ʂîsèʔ,su agua,his/her water (formal),,BMAF01292021-1-combine:24:18.3,0:01.0,24:18.3,24:19.3,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[24_183-24_193].wav,93931914-1
ʂnò̰,tu/su madre,your mother,,BMAF01292021-1-combine:45:37.9,0:00.7,45:37.9,45:38.6,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[45_379-45_386].wav,43022476-1
wênlḛ̀,muy sano,very healthy,,BMAF02032021-1-combine:38:44.6,0:00.8,38:44.6,38:45.4,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[38_446-38_454].wav,08583564-1
na,,,,BMAF02102021-1-combine:33:56.2,0:00.5,33:56.2,33:56.7,BMAF02102021-1-combine.wav,BMAF02102021-1-combine.eaf,BMAF02102021-1-combine[33_562-33_567].wav,23361279-1
t͡ʂǎ̰,yendo,going,,BMAF01082021-1-combine:46:13.8,0:00.5,46:13.8,46:14.3,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[46_138-46_143].wav,88405279-1
nìaʔ,decir,say,,BMAF01152021-1-combine:06:19.0,0:00.4,6:19.0,6:19.4,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[06_190-06_194].wav,42729717-1
lìʒlé,su/vuestra casa,your house,,BMAF01152021-1-combine:34:55.2,0:01.0,34:55.2,34:56.2,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[34_552-34_562].wav,47931705-2
nèʁè bèláʔ,Leí ayer,I read yesterday,,BMAF02172021-1-combine:41:48.0,0:01.3,41:48.0,41:49.3,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[41_480-41_493].wav,81398745-1
jélà tʂiáʔ,mi banano/plátano,my banana,,BMAF02102021-1-combine:29:33.4,0:01.3,29:33.4,29:34.8,BMAF02102021-1-combine.wav,BMAF02102021-1-combine.eaf,BMAF02102021-1-combine[29_334-29_348].wav,24407291-1
léːn,eso,that,,BMAF02172021-1-combine:19:59.1,0:01.3,19:59.1,20:00.4,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[19_591-20_004].wav,18495492-1
ríkwà̰ ʒàwbá jètʰ,mi perro come tortilla,my dog eats tortilla,,BMAF01292021-1-combine:06:00.2,0:01.9,6:00.2,6:02.0,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[06_002-06_020].wav,25623688-2
ʐíʔkòʔ,tu perro,your dog,,BMAF01292021-1-combine:07:38.4,0:01.0,7:38.4,7:39.4,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[07_384-07_394].wav,02020983-1
ʒìtʰ,huevo,egg,,BMAF01082021-1-combine:41:10.7,0:00.9,41:10.7,41:11.6,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[41_107-41_116].wav,84213357-1
jà̰,montaña,mountain,,BMAF01152021-1-combine:22:13.6,0:00.7,22:13.6,22:14.3,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[22_136-22_143].wav,54007696-1
ʂísáʔ,mi agua,my water,,BMAF01292021-1-combine:21:10.5,0:01.0,21:10.5,21:11.5,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[21_105-21_115].wav,04785141-1
lìʒòʔ,tu/su casa,your house,,BMAF01152021-1-combine:31:40.8,0:00.8,31:40.8,31:41.6,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[31_408-31_416].wav,37462488-1
,me duele mi pie,,,BMAF01152021-1-combine:17:53.2,0:00.0,17:53.2,17:53.2,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[17_532-17_532].wav,15654930-2
nìá,pie,my foot,,BMAF01152021-1-combine:09:03.3,0:00.4,9:03.3,9:03.8,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[09_033-09_038].wav,87232962-1
ʂàʔ,sartén,pan,,BMAF01082021-1-combine:45:40.6,0:00.5,45:40.6,45:41.1,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[45_406-45_411].wav,02198745-1
ʂákàkéʔ,su padre,their father (formal),,BMAF01292021-1-combine:42:25.9,0:01.2,42:25.9,42:27.1,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[42_259-42_271].wav,13653059-1
nèʁé wèʁà̰ nîss,Tomé agua ayer,I drank water yesterday,,BMAF02032021-1-combine:18:10.4,0:01.8,18:10.4,18:12.3,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[18_104-18_123].wav,65303848-1
nò̰ɺé zẫn,muchas mujeres,many women,,BMAF01082021-1-combine:02:23.0,0:00.9,2:23.0,2:23.8,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[02_230-02_238].wav,85115430-1
nèðà nêzɾà̰,Yo sé,I know,,BMAF01152021-1-combine:06:22.4,0:01.2,6:22.4,6:23.6,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[06_224-06_236].wav,06414280-1
békò tʂiáʔ ʒàwbá jètʰ,mi perro come tortilla,my dog eats tortilla,,BMAF01292021-1-combine:03:22.7,0:02.8,3:22.7,3:25.5,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[03_227-03_255].wav,05122030-1
nèʁê lâl nís̺ wèʁâ,"Ayer, bebí mucha agua","Yesterday, I drank a lot of water",,BMAF01082021-1-combine:20:27.5,0:03.6,20:27.5,20:31.1,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[20_275-20_311].wav,51957241-1
na,,,,BMAF02102021-1-combine:33:04.1,0:00.7,33:04.1,33:04.8,BMAF02102021-1-combine.wav,BMAF02102021-1-combine.eaf,BMAF02102021-1-combine[33_041-33_048].wav,23361279-2
ʐíkòʒó,nuestro (incl) perro,our (inclusive) dog,,BMAF01292021-1-combine:10:40.7,0:00.9,10:40.7,10:41.6,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[10_407-10_416].wav,18050884-1
bí lén,como se llama,what's it's name,,BMAF02172021-1-combine:19:34.2,0:01.1,19:34.2,19:35.3,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[19_342-19_353].wav,76568146-1
jògòʒá ʒòláʔ,Leo todos los dias,I read everyday,,BMAF02172021-1-combine:37:29.2,0:01.7,37:29.2,37:30.9,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[37_292-37_309].wav,24960248-2
zò wèn dà̰ ʒèʁó nìss jòɣòʒà,Estas sano porque tomas agua todos los días,You are a healthy person because you drink water everyday,,BMAF02032021-1-combine:42:48.4,0:03.1,42:48.4,42:51.5,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[42_484-42_515].wav,80679392-1
